Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
CORE;EO;SEON:Core Layer:EO;Job Plan;kind;UFO:Normative Description   ;;;2
CORE;COM;SEON:Core Layer:COM:Measure;Ordinal Scale;;COM:Scale   UFO:Ordinal MeaRefDimension   ;Scale whose Scale Values can be mapped to a certain order or ranking.; the measure client satisfaction degree, which can be mapped to the values “high”, “medium” or “low”, has an Ordinal Scale.;0
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Code;subkind;SysSwO:Software Item   ;Software Item representing a set of computer instructions and data definitions expressed in a programming language or in a form output by an assembler, compiler, or other translator (SEVOCAB).;;5
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User;;UFO:Person   ;A Person who interacts with (or is expected to interact with) an Interactive Computer System.; a person who uses a home banking system, smart watch or smart mobile phone. ;3
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Activity Universal;2ndOT;UFO:Action Universal   ;Action Universal representing any generic activity in an Organization (formalized or not), which is the powertype of every Performed Activity.; a formalized standard Requirements Elicitation activity, a non-formalized generic (alternative) Requirements Elicitation activity.;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Self Appointment;;UFO:Intention   UFO:Appointment   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurement Reference Region;;;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Commitment Universal;;;;;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;HCI Designer Mental Moment;;SDRO:Software Designer Mental Moment   ;;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurement Quality Structure;;UFO:Quality Structure   ;;;1
DOMAIN;GORO;SEON:Domain Layer:GORO;Requirement;;RSRO:Requirement   ;A Goal in the scope of a specific problem, that describes environmental conditions to be achieved through a desired solution resulting in satisfaction of the underlying strategic goals. In GORE, these goals can be refined by decomposing them into sub-goals, as well as by defining them by means of alternative goals.;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Programming Language;kind;UFO:Social Object   ;A language used to express computer programs.;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Loaded RRT Program Copy;;SysSwO:Loaded Program Copy   ;Loaded RRT Program Copy is the materialization of a RRT Program.;;2
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Target Program;;SysSwO:Program   ;Target Program is the role a Program plays when it is the targer of a RRT Program, i.e., the RRT Program are built to act over (monitor/change) the Target Program.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Rigid Mixin Universal;;UFO:Mixin Universal   ;;;0
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Product Quality Requirement;mode;RSRO:Non-Functional Requirement   ;Non-Functional Requirement referring to a Quality Characteristic of the software product.; Being accessible from some specific browsers, Performing a function in an established time.;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Expression;;;;;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software Measurement Goal;;COM:Measurement Goal   ;Measurement Goal related to software. Software Measurement Goals are based on Business Goals or Software Goals.; the measurement goal Decrease defects in delivered products could be defined based on the software goal Improve software products quality.;3
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Stakeholders;Stakeholder;rolemixin;UFO:Agent   ;Agent (Person, Team or Organization) interested or affected by the process activities or results.; an Analyst, a Programmer, a User, a Testing Team, a Client Organization.;6
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Release Management and Delivery;event;SPO:Performed Composite Activity   ;Activity for managing the building, releasing and delivering of the products to be delivered to clients.;;5
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Process;event;RSMO:Measurable Software-Related Entity   UFO:Complex Action   ;Complex Action, composed of other processes or activities, performed in a specific Time Interval, for reaching a goal in a Project or Organization.; Development, Configuration Management, Training performed processes.;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Test Case Design;event;SPO:Performed Simple Activity   ;Simple Performed Activity for designing the Test Cases to be executed, supported by input artifacts.;;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Quality;;UFO:Intrinsic Moment   ;;;2
